"","Age","Career","Marital_Statues","Education","Mortage","Personal_Loan","Contact_Type","Number_of_Contacts","Subscribed","Cus_ID"
"108",56,"retired","married","primary education","yes","no","telephone",2,"no",108
"109",41,"technician","married","professional education","yes","no","telephone",1,"yes",109
"110",37,"blue-collar","married","primary education","yes","yes","telephone",1,"no",110
"111",41,"technician","married","professional education","no","no","telephone",1,"no",111
"112",37,"blue-collar","married","primary education","yes","no","telephone",1,"no",112
"113",52,"management","married","university education","no","no","telephone",1,"no",113
"114",39,"management","divorced","university education","no","no","telephone",1,"no",114
"115",39,"housemaid","married","primary education","no","no","telephone",2,"no",115
"116",56,"blue-collar","married","primary education","no","no","telephone",2,"no",116
"117",34,"services","married","secondary education","yes","no","telephone",2,"no",117
"118",45,"blue-collar","married","secondary education","yes","no","telephone",1,"yes",118
"119",43,"unemployed","single","university education","yes","no","telephone",1,"no",119
"120",39,"management","married","university education","yes","no","telephone",1,"no",120
"121",53,"blue-collar","married","primary education","yes","no","telephone",1,"no",121
"122",42,"blue-collar","married","primary education","yes","no","telephone",1,"no",122
"123",42,"blue-collar","married","primary education","no","no","telephone",1,"no",123
"124",35,"administration","single","secondary education","yes","no","telephone",1,"no",124
"125",40,"administration","married","university education","yes","no","telephone",1,"no",125
"126",51,"blue-collar","married","primary education","yes","no","telephone",1,"no",126
"127",60,"blue-collar","married","secondary education","no","no","telephone",1,"no",127
"128",39,"services","divorced","secondary education","yes","no","telephone",1,"no",128
"129",36,"blue-collar","married","secondary education","yes","yes","telephone",1,"no",129
"130",43,"technician","single","professional education","yes","no","telephone",2,"no",130
"131",59,"services","married","secondary education","no","no","telephone",2,"no",131
"132",24,"management","single","university education","yes","no","telephone",2,"no",132
"133",37,"blue-collar","single","secondary education","yes","yes","telephone",2,"no",133
"134",40,"blue-collar","married","secondary education","no","no","telephone",1,"no",134
"135",42,"blue-collar","married","secondary education","no","no","telephone",3,"no",135
"136",39,"services","divorced","secondary education","no","no","telephone",1,"no",136
"137",37,"entrepreneur","married","primary education","no","no","telephone",1,"no",137
"138",38,"services","married","secondary education","yes","yes","telephone",1,"no",138
"139",54,"management","divorced","university education","yes","no","telephone",2,"no",139
"140",43,"blue-collar","married","secondary education","no","yes","telephone",1,"no",140
"141",36,"services","married","secondary education","no","no","telephone",1,"no",141
"142",45,"technician","married","university education","yes","yes","telephone",1,"no",142
"143",42,"administration","single","university education","no","no","telephone",1,"no",143
"144",43,"services","married","secondary education","no","no","telephone",3,"no",144
"145",46,"management","married","secondary education","no","no","telephone",2,"no",145
"146",44,"services","married","secondary education","yes","yes","telephone",1,"no",146
"147",51,"administration","single","primary education","no","no","telephone",2,"no",147
"148",28,"services","married","secondary education","yes","no","telephone",1,"no",148
"149",37,"blue-collar","married","secondary education","no","no","telephone",1,"no",149
"150",34,"technician","married","secondary education","no","no","telephone",1,"no",150
"151",46,"blue-collar","married","primary education","yes","no","telephone",1,"no",151
"152",42,"blue-collar","married","secondary education","yes","yes","telephone",2,"yes",152
"153",36,"administration","married","university education","yes","no","telephone",3,"no",153
"154",54,"blue-collar","married","primary education","no","no","telephone",1,"no",154
"155",57,"management","married","university education","no","no","telephone",1,"no",155
"156",51,"technician","married","primary education","no","no","telephone",1,"no",156
"157",54,"retired","married","secondary education","no","no","telephone",1,"no",157
"158",49,"blue-collar","married","primary education","no","no","telephone",1,"no",158
"159",34,"administration","married","university education","yes","no","telephone",1,"no",159
"160",41,"technician","married","professional education","no","no","telephone",1,"no",160
"161",38,"blue-collar","single","secondary education","yes","no","telephone",2,"no",161
"162",45,"management","divorced","university education","no","no","telephone",2,"no",162
"163",42,"technician","married","university education","no","no","telephone",2,"no",163
"164",34,"blue-collar","single","secondary education","yes","no","telephone",1,"no",164
"165",48,"blue-collar","married","primary education","yes","no","telephone",1,"no",165
"166",37,"administration","married","secondary education","yes","no","telephone",1,"no",166
"167",34,"blue-collar","single","secondary education","no","no","telephone",1,"no",167
"168",40,"administration","married","secondary education","yes","no","telephone",2,"no",168
"169",43,"blue-collar","married","primary education","yes","no","telephone",1,"no",169
"170",33,"services","married","secondary education","no","no","telephone",2,"no",170
"171",32,"services","single","primary education","no","no","telephone",1,"no",171
"172",39,"blue-collar","married","secondary education","yes","no","telephone",2,"no",172
"173",44,"blue-collar","married","secondary education","yes","no","telephone",1,"no",173
"174",35,"student","single","university education","no","no","telephone",1,"no",174
"175",35,"student","single","university education","yes","yes","telephone",1,"no",175
"176",35,"unemployed","married","professional education","no","no","telephone",1,"no",176
"177",36,"services","single","primary education","no","no","telephone",1,"no",177
"178",35,"student","single","university education","yes","no","telephone",1,"no",178
"179",36,"student","single","secondary education","yes","no","telephone",1,"no",179
"180",55,"housemaid","divorced","university education","no","no","telephone",1,"no",180
"181",59,"administration","married","university education","no","no","telephone",1,"no",181
"182",39,"blue-collar","married","professional education","yes","no","telephone",1,"no",182
"183",39,"housemaid","married","primary education","yes","no","telephone",2,"no",183
"184",50,"housemaid","married","primary education","no","no","telephone",1,"no",184
"185",40,"services","married","secondary education","no","no","telephone",3,"no",185
"186",35,"administration","married","secondary education","yes","no","telephone",2,"no",186
"187",36,"services","single","primary education","yes","no","telephone",1,"no",187
"188",46,"technician","married","primary education","yes","no","telephone",1,"no",188
"189",40,"technician","married","secondary education","no","no","telephone",1,"no",189
"190",58,"retired","married","university education","no","no","telephone",1,"no",190
"191",42,"technician","married","university education","no","no","telephone",2,"no",191
"192",35,"administration","single","university education","no","no","telephone",2,"no",192
"193",43,"retired","married","primary education","no","no","telephone",3,"no",193
"194",45,"blue-collar","married","primary education","yes","yes","telephone",1,"no",194
"195",39,"administration","married","professional education","yes","no","telephone",2,"no",195
"196",50,"services","divorced","professional education","yes","no","telephone",1,"no",196
"197",32,"management","divorced","primary education","yes","no","telephone",2,"no",197
"198",39,"administration","married","secondary education","no","no","telephone",1,"no",198
"199",52,"self-employed","married","university education","no","no","telephone",1,"no",199
"200",44,"administration","married","professional education","yes","no","telephone",1,"no",200
"201",56,"blue-collar","married","primary education","no","no","telephone",1,"no",201
"202",48,"administration","married","secondary education","no","no","telephone",2,"no",202
"203",33,"services","married","secondary education","no","yes","telephone",2,"no",203
"204",43,"management","married","university education","no","yes","telephone",3,"no",204
"205",57,"retired","married","secondary education","no","no","telephone",2,"no",205
"206",36,"technician","single","professional education","no","no","telephone",1,"no",206
"207",34,"management","married","university education","yes","no","telephone",1,"no",207
"208",34,"services","single","secondary education","no","no","telephone",2,"no",208
"209",30,"technician","married","university education","no","no","telephone",1,"no",209
"210",32,"technician","single","professional education","no","no","telephone",1,"no",210
"211",36,"technician","single","secondary education","yes","no","telephone",2,"no",211
"212",36,"blue-collar","single","secondary education","no","yes","telephone",1,"no",212
"213",33,"services","single","secondary education","no","no","telephone",1,"no",213
"214",40,"technician","divorced","professional education","no","no","telephone",1,"no",214
"215",41,"blue-collar","married","primary education","yes","no","telephone",1,"no",215
"216",51,"services","married","primary education","yes","no","telephone",1,"no",216
"217",36,"technician","married","professional education","yes","no","telephone",3,"no",217
"218",53,"services","married","secondary education","yes","yes","telephone",3,"no",218
"219",58,"blue-collar","married","secondary education","yes","no","telephone",2,"no",219
"220",45,"management","married","secondary education","no","yes","telephone",1,"no",220
"221",33,"administration","married","secondary education","no","yes","telephone",1,"no",221
"222",33,"administration","married","secondary education","no","yes","telephone",1,"no",222
"223",42,"technician","married","secondary education","no","no","telephone",1,"no",223
"224",43,"administration","divorced","secondary education","no","no","telephone",3,"no",224
"225",42,"administration","married","university education","no","no","telephone",2,"no",225
"226",27,"blue-collar","single","primary education","no","no","telephone",1,"no",226
"227",34,"self-employed","single","university education","yes","no","telephone",2,"no",227
"228",31,"student","single","university education","no","no","telephone",2,"no",228
"229",54,"management","divorced","university education","no","no","telephone",2,"no",229
"230",40,"self-employed","married","primary education","no","no","telephone",3,"no",230
"231",52,"unemployed","married","secondary education","yes","no","telephone",1,"no",231
"232",47,"management","divorced","university education","no","no","telephone",2,"no",232
"233",49,"housemaid","married","secondary education","no","no","telephone",1,"no",233
"234",32,"administration","single","secondary education","no","no","telephone",2,"no",234
"235",49,"housemaid","single","secondary education","yes","yes","telephone",2,"no",235
"236",50,"blue-collar","married","secondary education","no","no","telephone",1,"no",236
"237",34,"services","married","secondary education","no","no","telephone",1,"no",237
"238",55,"blue-collar","married","primary education","no","no","telephone",2,"no",238
"239",47,"technician","single","secondary education","no","no","telephone",4,"no",239
"240",51,"retired","married","professional education","no","no","telephone",3,"no",240
"241",47,"blue-collar","married","primary education","no","no","telephone",2,"no",241
"242",56,"technician","married","primary education","yes","no","telephone",3,"no",242
"243",53,"administration","married","secondary education","no","no","telephone",3,"no",243
"244",36,"blue-collar","married","secondary education","yes","no","telephone",2,"no",244
"245",42,"blue-collar","divorced","secondary education","yes","no","telephone",2,"no",245
"246",44,"blue-collar","divorced","primary education","no","no","telephone",2,"no",246
"247",39,"housemaid","married","secondary education","yes","no","telephone",3,"yes",247
"248",37,"administration","single","secondary education","yes","yes","telephone",2,"no",248
"249",36,"services","married","secondary education","no","no","telephone",2,"no",249
"250",42,"management","divorced","university education","yes","no","telephone",2,"no",250
"251",31,"administration","married","secondary education","yes","yes","telephone",2,"no",251
"252",53,"technician","divorced","professional education","no","yes","telephone",2,"no",252
"253",45,"blue-collar","married","primary education","yes","no","telephone",2,"no",253
"254",37,"technician","single","professional education","yes","no","telephone",2,"no",254
"255",47,"self-employed","married","professional education","no","no","telephone",2,"no",255
"256",49,"blue-collar","divorced","secondary education","no","yes","telephone",2,"no",256
"257",36,"administration","married","university education","yes","no","telephone",2,"no",257
"258",35,"services","divorced","secondary education","no","no","telephone",3,"no",258
"259",38,"services","single","secondary education","no","no","telephone",2,"no",259
"260",50,"blue-collar","divorced","secondary education","no","yes","telephone",2,"no",260
"261",59,"retired","married","professional education","no","no","telephone",2,"no",261
"262",42,"administration","married","secondary education","yes","no","telephone",2,"no",262
"263",40,"administration","married","primary education","yes","no","telephone",2,"no",263
"264",57,"housemaid","divorced","primary education","yes","yes","telephone",2,"no",264
"265",42,"administration","married","university education","yes","no","telephone",3,"no",265
"266",41,"blue-collar","married","primary education","yes","no","telephone",2,"no",266
"267",54,"management","divorced","university education","yes","no","telephone",3,"no",267
"268",27,"administration","single","university education","no","no","telephone",2,"no",268
"269",36,"administration","married","secondary education","no","no","telephone",2,"no",269
"270",58,"blue-collar","married","professional education","yes","no","telephone",2,"no",270
"271",40,"management","married","university education","yes","no","telephone",2,"no",271
"272",34,"administration","single","secondary education","no","no","telephone",2,"no",272
"273",33,"administration","divorced","secondary education","no","no","telephone",2,"no",273
"274",56,"retired","married","primary education","no","no","telephone",2,"no",274
"275",42,"blue-collar","married","secondary education","no","no","telephone",2,"no",275
"276",43,"services","married","secondary education","yes","no","telephone",2,"no",276
"277",54,"management","single","secondary education","yes","no","telephone",3,"no",277
"278",53,"administration","single","primary education","yes","yes","telephone",2,"no",278
"279",40,"services","married","primary education","no","no","telephone",3,"no",279
"280",54,"technician","married","professional education","yes","yes","telephone",2,"no",280
"281",40,"housemaid","single","professional education","no","no","telephone",4,"no",281
"282",26,"administration","single","university education","yes","no","telephone",3,"no",282
"283",33,"administration","married","secondary education","no","no","telephone",3,"no",283
"284",35,"blue-collar","married","secondary education","no","no","telephone",2,"no",284
"285",36,"administration","married","secondary education","no","no","telephone",3,"no",285
"286",29,"services","single","secondary education","yes","no","telephone",2,"no",286
"287",36,"blue-collar","married","secondary education","yes","no","telephone",2,"no",287
"288",35,"management","married","secondary education","yes","no","telephone",5,"no",288
"289",50,"self-employed","single","university education","no","yes","telephone",5,"no",289
"290",46,"services","married","secondary education","yes","no","telephone",3,"no",290
"291",49,"entrepreneur","married","secondary education","yes","no","telephone",4,"no",291
"292",42,"technician","single","professional education","yes","no","telephone",2,"no",292
"293",36,"blue-collar","single","secondary education","yes","yes","telephone",3,"no",293
"294",55,"blue-collar","married","secondary education","yes","no","telephone",2,"no",294
"295",41,"management","married","university education","no","no","telephone",2,"no",295
"296",57,"management","married","professional education","yes","no","telephone",3,"no",296
"297",32,"services","single","secondary education","yes","no","telephone",3,"no",297
"298",49,"administration","married","secondary education","no","no","telephone",3,"no",298
"299",58,"blue-collar","divorced","primary education","yes","no","telephone",2,"no",299
"300",52,"technician","married","secondary education","yes","no","telephone",2,"no",300
"301",50,"services","divorced","professional education","no","no","telephone",2,"no",301
"302",41,"blue-collar","single","secondary education","yes","no","telephone",4,"no",302
"303",33,"entrepreneur","married","university education","yes","no","telephone",3,"no",303
"304",57,"blue-collar","married","primary education","no","no","telephone",2,"no",304
"305",48,"blue-collar","married","primary education","no","no","telephone",3,"no",305
"306",55,"technician","married","professional education","no","no","telephone",2,"no",306
"307",38,"management","married","university education","no","no","telephone",2,"no",307
"308",38,"services","married","secondary education","yes","no","telephone",3,"no",308
"309",53,"administration","married","university education","yes","no","telephone",2,"no",309
"310",43,"unemployed","single","university education","no","no","telephone",4,"no",310
"311",36,"blue-collar","single","secondary education","no","no","telephone",2,"no",311
"312",32,"blue-collar","married","secondary education","no","no","telephone",2,"no",312
"313",33,"services","married","primary education","no","no","telephone",3,"no",313
"314",58,"entrepreneur","married","primary education","yes","no","telephone",2,"no",314
"315",40,"unemployed","divorced","secondary education","no","no","telephone",3,"no",315
"316",57,"management","married","university education","yes","no","telephone",2,"no",316
"317",45,"technician","married","secondary education","yes","no","telephone",3,"no",317
"318",42,"blue-collar","married","primary education","yes","no","telephone",3,"no",318
"319",46,"administration","married","university education","yes","no","telephone",1,"no",319
"320",36,"technician","married","university education","no","no","telephone",1,"no",320
"321",41,"self-employed","married","secondary education","yes","no","telephone",1,"no",321
"322",57,"administration","divorced","secondary education","no","no","telephone",1,"no",322
"323",49,"blue-collar","married","secondary education","yes","no","telephone",1,"no",323
"324",56,"management","divorced","secondary education","no","no","telephone",1,"no",324
"325",37,"blue-collar","married","secondary education","no","no","telephone",1,"no",325
"326",37,"blue-collar","married","secondary education","no","yes","telephone",1,"no",326
"327",46,"administration","single","secondary education","yes","no","telephone",1,"no",327
"328",22,"blue-collar","single","secondary education","yes","no","telephone",1,"no",328
"329",43,"services","married","secondary education","no","no","telephone",1,"no",329
"330",41,"technician","married","primary education","yes","no","telephone",1,"no",330
"331",38,"administration","single","university education","no","no","telephone",1,"no",331
"332",33,"administration","married","secondary education","no","no","telephone",1,"no",332
"333",49,"administration","married","university education","yes","yes","telephone",1,"no",333
"334",33,"administration","married","secondary education","yes","no","telephone",1,"no",334
"335",34,"management","single","university education","no","no","telephone",1,"no",335
"336",59,"management","married","primary education","yes","yes","telephone",1,"no",336
"337",41,"self-employed","married","university education","no","no","telephone",1,"no",337
"338",48,"housemaid","married","primary education","yes","yes","telephone",4,"no",338
"339",44,"services","married","secondary education","yes","no","telephone",1,"yes",339
"340",50,"management","married","secondary education","no","no","telephone",1,"no",340
"341",35,"administration","married","university education","no","no","telephone",1,"no",341
"342",42,"administration","married","secondary education","no","no","telephone",1,"no",342
"343",45,"administration","married","secondary education","no","no","telephone",1,"no",343
"344",36,"technician","married","professional education","no","no","telephone",2,"no",344
"345",56,"services","married","secondary education","no","no","telephone",3,"no",345
"346",29,"blue-collar","divorced","primary education","no","no","telephone",1,"no",346
"347",41,"self-employed","married","university education","yes","yes","telephone",2,"no",347
"348",42,"blue-collar","married","secondary education","no","no","telephone",1,"no",348
"349",52,"services","single","secondary education","no","no","telephone",1,"no",349
"350",31,"blue-collar","married","secondary education","yes","no","telephone",1,"no",350
"351",43,"unemployed","married","university education","yes","no","telephone",1,"no",351
"352",36,"blue-collar","married","primary education","no","no","telephone",1,"no",352
"353",42,"entrepreneur","married","university education","yes","no","telephone",1,"no",353
"354",52,"services","divorced","primary education","no","no","telephone",1,"no",354
"355",39,"administration","married","secondary education","yes","no","telephone",2,"no",355
"356",36,"services","married","secondary education","no","yes","telephone",2,"no",356
"357",42,"blue-collar","married","secondary education","yes","no","telephone",1,"no",357
"358",41,"administration","married","secondary education","no","no","telephone",1,"no",358
"359",55,"technician","married","primary education","no","yes","telephone",1,"no",359
"360",30,"blue-collar","married","secondary education","no","no","telephone",1,"no",360
"361",45,"entrepreneur","married","primary education","yes","no","telephone",1,"no",361
"362",51,"blue-collar","married","primary education","yes","yes","telephone",2,"no",362
"363",39,"self-employed","single","secondary education","yes","yes","telephone",1,"no",363
"364",47,"administration","married","secondary education","no","no","telephone",1,"no",364
"365",27,"services","married","secondary education","yes","no","telephone",1,"no",365
"366",34,"technician","single","university education","yes","no","telephone",1,"no",366
"367",57,"blue-collar","married","primary education","yes","no","telephone",1,"no",367
"368",43,"entrepreneur","married","primary education","no","no","telephone",1,"no",368
"369",49,"blue-collar","married","primary education","no","no","telephone",1,"no",369
"370",39,"management","married","university education","no","no","telephone",3,"no",370
"371",38,"blue-collar","married","primary education","yes","no","telephone",1,"no",371
"372",49,"blue-collar","married","secondary education","no","no","telephone",2,"no",372
"373",58,"management","married","primary education","no","no","telephone",1,"no",373
"374",43,"technician","married","professional education","yes","no","telephone",1,"no",374
"375",31,"services","married","secondary education","no","no","telephone",1,"no",375
"376",43,"self-employed","divorced","university education","no","no","telephone",1,"no",376
"377",43,"self-employed","married","secondary education","no","no","telephone",1,"no",377
"378",30,"self-employed","single","university education","yes","no","telephone",1,"no",378
"379",27,"services","single","professional education","yes","yes","telephone",1,"no",379
"380",37,"technician","married","professional education","yes","no","telephone",2,"no",380
"381",46,"housemaid","married","secondary education","yes","no","telephone",1,"no",381
"382",35,"blue-collar","married","professional education","no","no","telephone",1,"no",382
"383",47,"administration","divorced","university education","no","no","telephone",1,"no",383
"384",40,"technician","married","professional education","no","yes","telephone",1,"no",384
"385",26,"housemaid","married","university education","no","no","telephone",1,"no",385
"386",32,"blue-collar","divorced","secondary education","no","no","telephone",2,"no",386
"387",45,"management","married","university education","yes","no","telephone",1,"no",387
"388",34,"administration","married","secondary education","no","no","telephone",1,"no",388
"389",42,"technician","married","professional education","no","no","telephone",1,"yes",389
"390",57,"technician","married","primary education","no","yes","telephone",1,"no",390
"391",57,"technician","married","primary education","no","no","telephone",1,"no",391
"392",38,"blue-collar","married","primary education","no","yes","telephone",1,"no",392
"393",57,"technician","married","primary education","no","no","telephone",1,"no",393
"394",28,"student","single","secondary education","yes","no","telephone",1,"no",394
"395",60,"management","married","university education","no","no","telephone",2,"no",395
"396",48,"administration","married","university education","yes","no","telephone",1,"no",396
"397",47,"technician","married","professional education","yes","no","telephone",1,"no",397
"398",40,"administration","married","secondary education","no","no","telephone",1,"no",398
"399",51,"management","married","professional education","yes","no","telephone",2,"no",399
"400",48,"unemployed","single","primary education","yes","no","telephone",1,"no",400
"401",54,"housemaid","married","primary education","no","no","telephone",2,"no",401
"402",40,"blue-collar","married","primary education","no","yes","telephone",1,"no",402
"403",44,"administration","single","secondary education","no","no","telephone",1,"no",403
"404",42,"technician","divorced","secondary education","no","no","telephone",4,"no",404
"405",52,"self-employed","married","university education","yes","no","telephone",1,"no",405
"406",31,"blue-collar","single","secondary education","yes","no","telephone",1,"no",406
"407",32,"services","married","secondary education","no","no","telephone",1,"no",407
"408",44,"administration","married","secondary education","yes","yes","telephone",1,"no",408
"409",39,"management","married","primary education","no","no","telephone",1,"no",409
"410",57,"management","married","professional education","yes","no","telephone",3,"no",410
"411",52,"administration","married","primary education","yes","no","telephone",1,"no",411
"412",42,"management","married","university education","no","no","telephone",1,"yes",412
"413",43,"management","married","professional education","yes","no","telephone",1,"no",413
"414",31,"administration","divorced","secondary education","no","no","telephone",1,"no",414
"415",29,"administration","married","university education","yes","no","telephone",1,"no",415
"416",57,"blue-collar","divorced","primary education","no","no","telephone",2,"no",416
"417",44,"blue-collar","married","secondary education","no","no","telephone",1,"no",417
"418",39,"blue-collar","married","primary education","no","no","telephone",1,"no",418
"419",57,"retired","married","university education","no","no","telephone",1,"no",419
"420",37,"technician","single","secondary education","no","yes","telephone",1,"no",420
"421",38,"services","married","secondary education","yes","no","telephone",1,"no",421
"422",42,"retired","married","primary education","no","no","telephone",1,"no",422
"423",54,"management","married","primary education","yes","yes","telephone",1,"no",423
"424",32,"administration","single","university education","no","no","telephone",1,"no",424
"425",35,"technician","married","professional education","yes","no","telephone",1,"no",425
"426",45,"housemaid","married","professional education","no","no","telephone",2,"no",426
"427",34,"technician","married","university education","yes","no","telephone",2,"no",427
"428",41,"unemployed","married","secondary education","no","no","telephone",2,"no",428
"429",41,"services","married","secondary education","no","no","telephone",2,"no",429
"430",36,"blue-collar","married","secondary education","no","no","telephone",1,"no",430
"431",38,"technician","married","professional education","yes","no","telephone",1,"no",431
"432",35,"administration","divorced","university education","yes","no","telephone",1,"no",432
"433",53,"administration","married","professional education","yes","no","telephone",2,"no",433
"434",51,"administration","married","primary education","yes","no","telephone",1,"no",434
"435",56,"entrepreneur","married","university education","no","no","telephone",1,"no",435
