Age,Career,Marital_Statues,Education,Mortage,Personal_Loan,Contact_Type,Number_of_Contacts,Subscribed
55,unemployed,married,professional education,yes,yes,telephone,1,no
25,technician,single,university education,yes,no,telephone,1,no
47,entrepreneur,married,university education,no,no,telephone,1,no
51,blue-collar,married,secondary education,yes,no,telephone,1,no
42,blue-collar,married,primary education,yes,no,telephone,1,no
42,blue-collar,married,primary education,no,no,telephone,1,no
48,administration,married,secondary education,no,no,telephone,1,no
37,administration,married,university education,no,no,telephone,1,no
44,blue-collar,single,secondary education,yes,no,telephone,1,no
56,administration,married,secondary education,yes,no,telephone,2,no
44,blue-collar,single,primary education,yes,yes,telephone,1,no
41,management,married,primary education,no,no,telephone,1,no
44,management,divorced,university education,yes,no,telephone,1,no
47,administration,married,university education,yes,no,telephone,1,no
37,administration,married,university education,yes,no,telephone,1,no
41,blue-collar,divorced,primary education,yes,no,telephone,1,yes
55,technician,married,university education,no,no,telephone,1,no
33,services,married,secondary education,yes,no,telephone,2,no
42,blue-collar,married,secondary education,no,no,telephone,1,no
50,blue-collar,married,primary education,yes,no,telephone,1,no
38,administration,married,secondary education,no,no,telephone,2,no
49,entrepreneur,married,university education,yes,no,telephone,1,yes
38,technician,single,university education,no,yes,telephone,1,no
31,administration,divorced,secondary education,no,no,telephone,1,no
41,management,married,primary education,no,no,telephone,2,no
39,administration,married,university education,yes,yes,telephone,1,no
49,technician,married,secondary education,no,no,telephone,1,yes
34,administration,married,secondary education,yes,no,telephone,2,no
35,administration,married,university education,yes,no,telephone,2,no
33,unemployed,married,secondary education,no,no,telephone,1,no
42,blue-collar,married,primary education,no,yes,telephone,1,no
45,services,married,professional education,yes,no,telephone,1,no
42,management,married,university education,no,no,telephone,1,no
53,administration,divorced,university education,no,no,telephone,1,no
37,technician,single,professional education,no,no,telephone,1,no
44,blue-collar,married,primary education,no,no,telephone,1,no
49,blue-collar,married,primary education,no,no,telephone,3,no
52,administration,divorced,university education,no,no,telephone,1,no
52,administration,divorced,university education,no,no,telephone,1,no
43,services,single,secondary education,no,no,telephone,1,no
34,housemaid,married,primary education,yes,no,telephone,2,no
35,administration,married,secondary education,yes,no,telephone,2,no
60,retired,divorced,university education,no,no,telephone,1,no
58,unemployed,married,primary education,no,no,telephone,2,no
35,services,divorced,secondary education,yes,no,telephone,1,no
55,blue-collar,married,secondary education,yes,no,telephone,2,no
37,management,married,university education,no,no,telephone,2,no
36,blue-collar,married,secondary education,no,no,telephone,1,no
52,administration,divorced,university education,no,no,telephone,2,no
48,blue-collar,divorced,primary education,yes,no,telephone,1,no
40,blue-collar,married,secondary education,yes,no,telephone,1,no
49,blue-collar,divorced,secondary education,no,no,telephone,1,no
41,services,married,secondary education,no,no,telephone,1,no
45,technician,married,secondary education,yes,no,telephone,1,no
32,administration,married,university education,yes,yes,telephone,1,no
42,administration,married,university education,no,yes,telephone,2,no
50,administration,married,primary education,no,no,telephone,1,no
31,technician,divorced,professional education,yes,yes,telephone,1,no
56,retired,married,primary education,yes,no,telephone,2,no
41,technician,married,professional education,yes,no,telephone,1,yes
37,blue-collar,married,primary education,yes,yes,telephone,1,no
41,technician,married,professional education,no,no,telephone,1,no
37,blue-collar,married,primary education,yes,no,telephone,1,no
52,management,married,university education,no,no,telephone,1,no
39,management,divorced,university education,no,no,telephone,1,no
39,housemaid,married,primary education,no,no,telephone,2,no
56,blue-collar,married,primary education,no,no,telephone,2,no
34,services,married,secondary education,yes,no,telephone,2,no
45,blue-collar,married,secondary education,yes,no,telephone,1,yes
43,unemployed,single,university education,yes,no,telephone,1,no
39,management,married,university education,yes,no,telephone,1,no
53,blue-collar,married,primary education,yes,no,telephone,1,no
42,blue-collar,married,primary education,yes,no,telephone,1,no
42,blue-collar,married,primary education,no,no,telephone,1,no
35,administration,single,secondary education,yes,no,telephone,1,no
40,administration,married,university education,yes,no,telephone,1,no
51,blue-collar,married,primary education,yes,no,telephone,1,no
60,blue-collar,married,secondary education,no,no,telephone,1,no
39,services,divorced,secondary education,yes,no,telephone,1,no
36,blue-collar,married,secondary education,yes,yes,telephone,1,no
43,technician,single,professional education,yes,no,telephone,2,no
59,services,married,secondary education,no,no,telephone,2,no
24,management,single,university education,yes,no,telephone,2,no
37,blue-collar,single,secondary education,yes,yes,telephone,2,no
40,blue-collar,married,secondary education,no,no,telephone,1,no
42,blue-collar,married,secondary education,no,no,telephone,3,no
39,services,divorced,secondary education,no,no,telephone,1,no
37,entrepreneur,married,primary education,no,no,telephone,1,no
38,services,married,secondary education,yes,yes,telephone,1,no
54,management,divorced,university education,yes,no,telephone,2,no
43,blue-collar,married,secondary education,no,yes,telephone,1,no
36,services,married,secondary education,no,no,telephone,1,no
45,technician,married,university education,yes,yes,telephone,1,no
42,administration,single,university education,no,no,telephone,1,no
43,services,married,secondary education,no,no,telephone,3,no
46,management,married,secondary education,no,no,telephone,2,no
44,services,married,secondary education,yes,yes,telephone,1,no
51,administration,single,primary education,no,no,telephone,2,no
28,services,married,secondary education,yes,no,telephone,1,no
37,blue-collar,married,secondary education,no,no,telephone,1,no
34,technician,married,secondary education,no,no,telephone,1,no
46,blue-collar,married,primary education,yes,no,telephone,1,no
42,blue-collar,married,secondary education,yes,yes,telephone,2,yes
36,administration,married,university education,yes,no,telephone,3,no
54,blue-collar,married,primary education,no,no,telephone,1,no
57,management,married,university education,no,no,telephone,1,no
51,technician,married,primary education,no,no,telephone,1,no
54,retired,married,secondary education,no,no,telephone,1,no
49,blue-collar,married,primary education,no,no,telephone,1,no
34,administration,married,university education,yes,no,telephone,1,no
41,technician,married,professional education,no,no,telephone,1,no
38,blue-collar,single,secondary education,yes,no,telephone,2,no
45,management,divorced,university education,no,no,telephone,2,no
42,technician,married,university education,no,no,telephone,2,no
34,blue-collar,single,secondary education,yes,no,telephone,1,no
48,blue-collar,married,primary education,yes,no,telephone,1,no
37,administration,married,secondary education,yes,no,telephone,1,no
34,blue-collar,single,secondary education,no,no,telephone,1,no
40,administration,married,secondary education,yes,no,telephone,2,no
43,blue-collar,married,primary education,yes,no,telephone,1,no
33,services,married,secondary education,no,no,telephone,2,no
32,services,single,primary education,no,no,telephone,1,no
39,blue-collar,married,secondary education,yes,no,telephone,2,no
44,blue-collar,married,secondary education,yes,no,telephone,1,no
35,student,single,university education,no,no,telephone,1,no
35,student,single,university education,yes,yes,telephone,1,no
35,unemployed,married,professional education,no,no,telephone,1,no
36,services,single,primary education,no,no,telephone,1,no
35,student,single,university education,yes,no,telephone,1,no
36,student,single,secondary education,yes,no,telephone,1,no
55,housemaid,divorced,university education,no,no,telephone,1,no
59,administration,married,university education,no,no,telephone,1,no
39,blue-collar,married,professional education,yes,no,telephone,1,no
39,housemaid,married,primary education,yes,no,telephone,2,no
50,housemaid,married,primary education,no,no,telephone,1,no
40,services,married,secondary education,no,no,telephone,3,no
35,administration,married,secondary education,yes,no,telephone,2,no
36,services,single,primary education,yes,no,telephone,1,no
46,technician,married,primary education,yes,no,telephone,1,no
40,technician,married,secondary education,no,no,telephone,1,no
58,retired,married,university education,no,no,telephone,1,no
42,technician,married,university education,no,no,telephone,2,no
35,administration,single,university education,no,no,telephone,2,no
43,retired,married,primary education,no,no,telephone,3,no
45,blue-collar,married,primary education,yes,yes,telephone,1,no
39,administration,married,professional education,yes,no,telephone,2,no
50,services,divorced,professional education,yes,no,telephone,1,no
32,management,divorced,primary education,yes,no,telephone,2,no
39,administration,married,secondary education,no,no,telephone,1,no
52,self-employed,married,university education,no,no,telephone,1,no
44,administration,married,professional education,yes,no,telephone,1,no
56,blue-collar,married,primary education,no,no,telephone,1,no
48,administration,married,secondary education,no,no,telephone,2,no
33,services,married,secondary education,no,yes,telephone,2,no
43,management,married,university education,no,yes,telephone,3,no
57,retired,married,secondary education,no,no,telephone,2,no
36,technician,single,professional education,no,no,telephone,1,no
34,management,married,university education,yes,no,telephone,1,no
34,services,single,secondary education,no,no,telephone,2,no
30,technician,married,university education,no,no,telephone,1,no
32,technician,single,professional education,no,no,telephone,1,no
36,technician,single,secondary education,yes,no,telephone,2,no
36,blue-collar,single,secondary education,no,yes,telephone,1,no
33,services,single,secondary education,no,no,telephone,1,no
40,technician,divorced,professional education,no,no,telephone,1,no
41,blue-collar,married,primary education,yes,no,telephone,1,no
51,services,married,primary education,yes,no,telephone,1,no
36,technician,married,professional education,yes,no,telephone,3,no
53,services,married,secondary education,yes,yes,telephone,3,no
58,blue-collar,married,secondary education,yes,no,telephone,2,no
45,management,married,secondary education,no,yes,telephone,1,no
33,administration,married,secondary education,no,yes,telephone,1,no
33,administration,married,secondary education,no,yes,telephone,1,no
42,technician,married,secondary education,no,no,telephone,1,no
43,administration,divorced,secondary education,no,no,telephone,3,no
42,administration,married,university education,no,no,telephone,2,no
27,blue-collar,single,primary education,no,no,telephone,1,no
34,self-employed,single,university education,yes,no,telephone,2,no
31,student,single,university education,no,no,telephone,2,no
54,management,divorced,university education,no,no,telephone,2,no
40,self-employed,married,primary education,no,no,telephone,3,no
52,unemployed,married,secondary education,yes,no,telephone,1,no
47,management,divorced,university education,no,no,telephone,2,no
49,housemaid,married,secondary education,no,no,telephone,1,no
32,administration,single,secondary education,no,no,telephone,2,no
49,housemaid,single,secondary education,yes,yes,telephone,2,no
50,blue-collar,married,secondary education,no,no,telephone,1,no
34,services,married,secondary education,no,no,telephone,1,no
55,blue-collar,married,primary education,no,no,telephone,2,no
47,technician,single,secondary education,no,no,telephone,4,no
51,retired,married,professional education,no,no,telephone,3,no
47,blue-collar,married,primary education,no,no,telephone,2,no
56,technician,married,primary education,yes,no,telephone,3,no
53,administration,married,secondary education,no,no,telephone,3,no
36,blue-collar,married,secondary education,yes,no,telephone,2,no
42,blue-collar,divorced,secondary education,yes,no,telephone,2,no
44,blue-collar,divorced,primary education,no,no,telephone,2,no
39,housemaid,married,secondary education,yes,no,telephone,3,yes
37,administration,single,secondary education,yes,yes,telephone,2,no
36,services,married,secondary education,no,no,telephone,2,no
42,management,divorced,university education,yes,no,telephone,2,no
31,administration,married,secondary education,yes,yes,telephone,2,no
53,technician,divorced,professional education,no,yes,telephone,2,no
45,blue-collar,married,primary education,yes,no,telephone,2,no
37,technician,single,professional education,yes,no,telephone,2,no
47,self-employed,married,professional education,no,no,telephone,2,no
49,blue-collar,divorced,secondary education,no,yes,telephone,2,no
36,administration,married,university education,yes,no,telephone,2,no
35,services,divorced,secondary education,no,no,telephone,3,no
38,services,single,secondary education,no,no,telephone,2,no
50,blue-collar,divorced,secondary education,no,yes,telephone,2,no
59,retired,married,professional education,no,no,telephone,2,no
42,administration,married,secondary education,yes,no,telephone,2,no
40,administration,married,primary education,yes,no,telephone,2,no
57,housemaid,divorced,primary education,yes,yes,telephone,2,no
42,administration,married,university education,yes,no,telephone,3,no
41,blue-collar,married,primary education,yes,no,telephone,2,no
54,management,divorced,university education,yes,no,telephone,3,no
27,administration,single,university education,no,no,telephone,2,no
36,administration,married,secondary education,no,no,telephone,2,no
58,blue-collar,married,professional education,yes,no,telephone,2,no
40,management,married,university education,yes,no,telephone,2,no
34,administration,single,secondary education,no,no,telephone,2,no
33,administration,divorced,secondary education,no,no,telephone,2,no
56,retired,married,primary education,no,no,telephone,2,no
42,blue-collar,married,secondary education,no,no,telephone,2,no
43,services,married,secondary education,yes,no,telephone,2,no
54,management,single,secondary education,yes,no,telephone,3,no
53,administration,single,primary education,yes,yes,telephone,2,no
40,services,married,primary education,no,no,telephone,3,no
54,technician,married,professional education,yes,yes,telephone,2,no
40,housemaid,single,professional education,no,no,telephone,4,no
26,administration,single,university education,yes,no,telephone,3,no
33,administration,married,secondary education,no,no,telephone,3,no
35,blue-collar,married,secondary education,no,no,telephone,2,no
36,administration,married,secondary education,no,no,telephone,3,no
29,services,single,secondary education,yes,no,telephone,2,no
36,blue-collar,married,secondary education,yes,no,telephone,2,no
35,management,married,secondary education,yes,no,telephone,5,no
50,self-employed,single,university education,no,yes,telephone,5,no
46,services,married,secondary education,yes,no,telephone,3,no
49,entrepreneur,married,secondary education,yes,no,telephone,4,no
42,technician,single,professional education,yes,no,telephone,2,no
36,blue-collar,single,secondary education,yes,yes,telephone,3,no
55,blue-collar,married,secondary education,yes,no,telephone,2,no
41,management,married,university education,no,no,telephone,2,no
57,management,married,professional education,yes,no,telephone,3,no
32,services,single,secondary education,yes,no,telephone,3,no
49,administration,married,secondary education,no,no,telephone,3,no
58,blue-collar,divorced,primary education,yes,no,telephone,2,no
52,technician,married,secondary education,yes,no,telephone,2,no
50,services,divorced,professional education,no,no,telephone,2,no
41,blue-collar,single,secondary education,yes,no,telephone,4,no
33,entrepreneur,married,university education,yes,no,telephone,3,no
57,blue-collar,married,primary education,no,no,telephone,2,no
48,blue-collar,married,primary education,no,no,telephone,3,no
55,technician,married,professional education,no,no,telephone,2,no
38,management,married,university education,no,no,telephone,2,no
38,services,married,secondary education,yes,no,telephone,3,no
53,administration,married,university education,yes,no,telephone,2,no
43,unemployed,single,university education,no,no,telephone,4,no
36,blue-collar,single,secondary education,no,no,telephone,2,no
32,blue-collar,married,secondary education,no,no,telephone,2,no
33,services,married,primary education,no,no,telephone,3,no
58,entrepreneur,married,primary education,yes,no,telephone,2,no
40,unemployed,divorced,secondary education,no,no,telephone,3,no
57,management,married,university education,yes,no,telephone,2,no
45,technician,married,secondary education,yes,no,telephone,3,no
42,blue-collar,married,primary education,yes,no,telephone,3,no
46,administration,married,university education,yes,no,telephone,1,no
36,technician,married,university education,no,no,telephone,1,no
41,self-employed,married,secondary education,yes,no,telephone,1,no
57,administration,divorced,secondary education,no,no,telephone,1,no
49,blue-collar,married,secondary education,yes,no,telephone,1,no
56,management,divorced,secondary education,no,no,telephone,1,no
37,blue-collar,married,secondary education,no,no,telephone,1,no
37,blue-collar,married,secondary education,no,yes,telephone,1,no
46,administration,single,secondary education,yes,no,telephone,1,no
22,blue-collar,single,secondary education,yes,no,telephone,1,no
43,services,married,secondary education,no,no,telephone,1,no
41,technician,married,primary education,yes,no,telephone,1,no
38,administration,single,university education,no,no,telephone,1,no
33,administration,married,secondary education,no,no,telephone,1,no
49,administration,married,university education,yes,yes,telephone,1,no
33,administration,married,secondary education,yes,no,telephone,1,no
34,management,single,university education,no,no,telephone,1,no
59,management,married,primary education,yes,yes,telephone,1,no
41,self-employed,married,university education,no,no,telephone,1,no
48,housemaid,married,primary education,yes,yes,telephone,4,no
44,services,married,secondary education,yes,no,telephone,1,yes
50,management,married,secondary education,no,no,telephone,1,no
35,administration,married,university education,no,no,telephone,1,no
42,administration,married,secondary education,no,no,telephone,1,no
45,administration,married,secondary education,no,no,telephone,1,no
36,technician,married,professional education,no,no,telephone,2,no
56,services,married,secondary education,no,no,telephone,3,no
29,blue-collar,divorced,primary education,no,no,telephone,1,no
41,self-employed,married,university education,yes,yes,telephone,2,no
42,blue-collar,married,secondary education,no,no,telephone,1,no
52,services,single,secondary education,no,no,telephone,1,no
31,blue-collar,married,secondary education,yes,no,telephone,1,no
43,unemployed,married,university education,yes,no,telephone,1,no
36,blue-collar,married,primary education,no,no,telephone,1,no
42,entrepreneur,married,university education,yes,no,telephone,1,no
52,services,divorced,primary education,no,no,telephone,1,no
39,administration,married,secondary education,yes,no,telephone,2,no
36,services,married,secondary education,no,yes,telephone,2,no
42,blue-collar,married,secondary education,yes,no,telephone,1,no
41,administration,married,secondary education,no,no,telephone,1,no
55,technician,married,primary education,no,yes,telephone,1,no
30,blue-collar,married,secondary education,no,no,telephone,1,no
45,entrepreneur,married,primary education,yes,no,telephone,1,no
51,blue-collar,married,primary education,yes,yes,telephone,2,no
39,self-employed,single,secondary education,yes,yes,telephone,1,no
47,administration,married,secondary education,no,no,telephone,1,no
27,services,married,secondary education,yes,no,telephone,1,no
34,technician,single,university education,yes,no,telephone,1,no
57,blue-collar,married,primary education,yes,no,telephone,1,no
43,entrepreneur,married,primary education,no,no,telephone,1,no
49,blue-collar,married,primary education,no,no,telephone,1,no
39,management,married,university education,no,no,telephone,3,no
38,blue-collar,married,primary education,yes,no,telephone,1,no
49,blue-collar,married,secondary education,no,no,telephone,2,no
58,management,married,primary education,no,no,telephone,1,no
43,technician,married,professional education,yes,no,telephone,1,no
31,services,married,secondary education,no,no,telephone,1,no
43,self-employed,divorced,university education,no,no,telephone,1,no
43,self-employed,married,secondary education,no,no,telephone,1,no
30,self-employed,single,university education,yes,no,telephone,1,no
27,services,single,professional education,yes,yes,telephone,1,no
37,technician,married,professional education,yes,no,telephone,2,no
46,housemaid,married,secondary education,yes,no,telephone,1,no
35,blue-collar,married,professional education,no,no,telephone,1,no
47,administration,divorced,university education,no,no,telephone,1,no
40,technician,married,professional education,no,yes,telephone,1,no
26,housemaid,married,university education,no,no,telephone,1,no
32,blue-collar,divorced,secondary education,no,no,telephone,2,no
45,management,married,university education,yes,no,telephone,1,no
34,administration,married,secondary education,no,no,telephone,1,no
42,technician,married,professional education,no,no,telephone,1,yes
57,technician,married,primary education,no,yes,telephone,1,no
57,technician,married,primary education,no,no,telephone,1,no
38,blue-collar,married,primary education,no,yes,telephone,1,no
57,technician,married,primary education,no,no,telephone,1,no
28,student,single,secondary education,yes,no,telephone,1,no
60,management,married,university education,no,no,telephone,2,no
48,administration,married,university education,yes,no,telephone,1,no
47,technician,married,professional education,yes,no,telephone,1,no
40,administration,married,secondary education,no,no,telephone,1,no
51,management,married,professional education,yes,no,telephone,2,no
48,unemployed,single,primary education,yes,no,telephone,1,no
54,housemaid,married,primary education,no,no,telephone,2,no
40,blue-collar,married,primary education,no,yes,telephone,1,no
44,administration,single,secondary education,no,no,telephone,1,no
42,technician,divorced,secondary education,no,no,telephone,4,no
52,self-employed,married,university education,yes,no,telephone,1,no
31,blue-collar,single,secondary education,yes,no,telephone,1,no
32,services,married,secondary education,no,no,telephone,1,no
44,administration,married,secondary education,yes,yes,telephone,1,no
39,management,married,primary education,no,no,telephone,1,no
57,management,married,professional education,yes,no,telephone,3,no
52,administration,married,primary education,yes,no,telephone,1,no
42,management,married,university education,no,no,telephone,1,yes
43,management,married,professional education,yes,no,telephone,1,no
31,administration,divorced,secondary education,no,no,telephone,1,no
29,administration,married,university education,yes,no,telephone,1,no
57,blue-collar,divorced,primary education,no,no,telephone,2,no
44,blue-collar,married,secondary education,no,no,telephone,1,no
39,blue-collar,married,primary education,no,no,telephone,1,no
57,retired,married,university education,no,no,telephone,1,no
37,technician,single,secondary education,no,yes,telephone,1,no
38,services,married,secondary education,yes,no,telephone,1,no
42,retired,married,primary education,no,no,telephone,1,no
54,management,married,primary education,yes,yes,telephone,1,no
32,administration,single,university education,no,no,telephone,1,no
35,technician,married,professional education,yes,no,telephone,1,no
45,housemaid,married,professional education,no,no,telephone,2,no
34,technician,married,university education,yes,no,telephone,2,no
41,unemployed,married,secondary education,no,no,telephone,2,no
41,services,married,secondary education,no,no,telephone,2,no
36,blue-collar,married,secondary education,no,no,telephone,1,no
38,technician,married,professional education,yes,no,telephone,1,no
35,administration,divorced,university education,yes,no,telephone,1,no
53,administration,married,professional education,yes,no,telephone,2,no
51,administration,married,primary education,yes,no,telephone,1,no
56,entrepreneur,married,university education,no,no,telephone,1,no
33,administration,married,secondary education,no,no,telephone,1,no
51,services,divorced,secondary education,yes,no,telephone,1,no
39,services,married,secondary education,yes,no,telephone,1,yes
45,entrepreneur,married,university education,no,no,telephone,1,no
40,technician,single,university education,no,no,telephone,3,no
33,technician,married,university education,yes,no,telephone,1,no
47,blue-collar,married,secondary education,yes,no,telephone,1,no
48,blue-collar,married,primary education,no,no,telephone,1,no
43,entrepreneur,married,secondary education,no,no,telephone,2,no
37,management,married,university education,yes,no,telephone,1,no
50,services,married,secondary education,yes,yes,telephone,1,no
59,entrepreneur,married,secondary education,yes,no,telephone,1,no
42,housemaid,single,primary education,yes,no,telephone,1,no
52,blue-collar,married,primary education,no,no,telephone,2,no
38,blue-collar,married,secondary education,no,no,telephone,1,no
39,blue-collar,married,primary education,yes,no,telephone,1,no
39,blue-collar,married,primary education,no,no,telephone,1,no
38,administration,married,secondary education,no,no,telephone,1,no
30,services,single,secondary education,no,no,telephone,1,no
38,administration,divorced,secondary education,yes,yes,telephone,2,no
39,technician,divorced,university education,no,no,telephone,1,no
44,administration,married,secondary education,no,no,telephone,2,no
36,administration,married,secondary education,no,no,telephone,2,no
41,services,married,secondary education,yes,yes,telephone,1,no
41,blue-collar,married,primary education,no,no,telephone,1,no
35,blue-collar,married,secondary education,no,no,telephone,2,no
41,technician,married,secondary education,no,no,telephone,1,no
36,services,married,secondary education,no,no,telephone,1,no
35,administration,single,secondary education,yes,yes,telephone,1,no
33,blue-collar,single,primary education,no,no,telephone,1,no
38,administration,single,primary education,no,no,telephone,1,no
33,self-employed,married,university education,no,no,telephone,1,no
36,blue-collar,single,secondary education,no,no,telephone,1,no
57,technician,married,professional education,no,yes,telephone,1,no
32,entrepreneur,single,university education,yes,no,telephone,2,no
30,self-employed,single,secondary education,yes,no,telephone,1,no
43,administration,married,professional education,yes,yes,telephone,2,no
46,administration,married,university education,no,no,telephone,2,no
35,administration,divorced,secondary education,no,yes,telephone,2,no
34,administration,single,university education,yes,yes,telephone,1,no
39,administration,single,university education,no,no,telephone,2,no
39,blue-collar,married,secondary education,no,no,telephone,1,no
42,entrepreneur,married,primary education,no,no,telephone,2,no
57,retired,married,university education,yes,no,telephone,1,no
45,blue-collar,married,primary education,no,no,telephone,1,no
40,technician,married,primary education,no,yes,telephone,1,no
42,blue-collar,married,secondary education,no,yes,telephone,3,yes
40,technician,married,primary education,no,no,telephone,1,no
38,blue-collar,single,primary education,no,no,telephone,1,no
39,blue-collar,married,primary education,yes,yes,telephone,1,no
41,blue-collar,married,primary education,no,no,telephone,1,no
39,blue-collar,married,primary education,yes,no,telephone,1,no
41,blue-collar,married,primary education,yes,yes,telephone,1,no
45,administration,married,university education,no,no,telephone,1,no
35,administration,married,primary education,yes,no,telephone,1,no
49,blue-collar,married,secondary education,no,no,telephone,1,no
23,administration,single,university education,no,no,telephone,3,no
51,blue-collar,married,secondary education,yes,no,telephone,2,no
56,retired,married,primary education,yes,yes,telephone,4,no
45,housemaid,married,secondary education,no,no,telephone,2,no
42,administration,married,secondary education,no,no,telephone,3,no
41,administration,divorced,secondary education,no,no,telephone,4,no
32,services,married,secondary education,no,yes,telephone,2,no
46,management,married,university education,no,no,telephone,2,no
53,management,married,university education,no,no,telephone,1,no
30,blue-collar,married,primary education,no,no,telephone,2,no
24,technician,single,professional education,no,yes,telephone,2,no
34,administration,single,university education,no,yes,telephone,2,no
41,management,married,university education,no,no,telephone,2,no
59,blue-collar,married,primary education,yes,no,telephone,2,no
45,blue-collar,married,primary education,no,no,telephone,1,no
54,blue-collar,married,primary education,no,no,telephone,5,no
32,technician,married,professional education,no,no,telephone,3,no
33,technician,married,professional education,yes,no,telephone,2,no
32,administration,married,university education,no,no,telephone,1,no
46,management,married,university education,no,no,telephone,2,no
57,technician,married,professional education,yes,no,telephone,4,no
42,technician,married,secondary education,no,no,telephone,1,no
48,administration,married,professional education,yes,no,telephone,2,no
58,administration,divorced,university education,yes,no,telephone,1,no
34,services,married,secondary education,no,no,telephone,1,no
32,administration,single,university education,yes,yes,telephone,1,no
48,blue-collar,married,secondary education,no,no,telephone,2,no
47,blue-collar,married,secondary education,no,no,telephone,1,no
31,services,married,secondary education,no,no,telephone,1,no
32,administration,single,university education,yes,no,telephone,1,no
32,administration,single,university education,no,no,telephone,1,no
36,services,married,secondary education,no,no,telephone,1,no
53,blue-collar,married,primary education,no,yes,telephone,2,no
37,blue-collar,married,secondary education,no,no,telephone,5,no
50,services,married,secondary education,no,no,telephone,1,no
46,blue-collar,married,primary education,yes,no,telephone,2,no
41,administration,married,secondary education,no,no,telephone,1,no
43,blue-collar,single,primary education,no,no,telephone,1,no
51,management,married,university education,yes,no,telephone,3,no
38,administration,married,university education,yes,no,telephone,1,no
41,technician,married,primary education,yes,no,telephone,2,no
39,services,married,secondary education,no,no,telephone,4,no
52,blue-collar,married,primary education,no,no,telephone,2,no
37,technician,married,professional education,yes,no,telephone,2,no
41,administration,married,secondary education,yes,no,telephone,3,no
46,administration,divorced,university education,yes,yes,telephone,1,no
47,technician,married,professional education,no,no,telephone,4,no
35,technician,married,professional education,no,no,telephone,3,no
38,services,married,secondary education,no,no,telephone,2,no
46,blue-collar,married,secondary education,yes,no,telephone,1,no
30,technician,married,professional education,no,no,telephone,1,no
35,services,single,primary education,no,no,telephone,1,no
40,technician,married,professional education,no,no,telephone,2,no
34,technician,married,university education,no,no,telephone,2,no
30,administration,single,university education,no,no,telephone,1,no
38,services,married,primary education,no,no,telephone,2,no
55,management,single,primary education,no,no,telephone,1,no
55,management,married,university education,yes,no,telephone,3,no
45,technician,single,professional education,yes,no,telephone,2,no
36,administration,married,university education,yes,yes,telephone,2,no
32,administration,single,university education,no,no,telephone,2,no
55,management,divorced,university education,yes,no,telephone,5,no
29,administration,married,secondary education,yes,no,telephone,3,no
34,blue-collar,married,primary education,yes,no,telephone,2,no
54,retired,married,secondary education,yes,no,telephone,1,no
36,technician,single,professional education,no,no,telephone,2,no
30,management,single,university education,yes,no,telephone,3,no
33,housemaid,divorced,university education,no,no,telephone,1,no
37,blue-collar,married,secondary education,no,no,telephone,1,no
